"Word","AmbiguityType","Meanings","Senses"
"angle","Hybrid","Many","Many"
"bark","Hybrid","Many","Many"
"blow","Hybrid","Many","Many"
"boil","Hybrid","Many","Many"
"bowl","Hybrid","Many","Many"
"bust","Hybrid","Many","Many"
"clip","Hybrid","Many","Many"
"clutch","Hybrid","Many","Many"
"compound","Hybrid","Many","Many"
"duck","Hybrid","Many","Many"
"flush","Hybrid","Many","Many"
"fold","Hybrid","Many","Many"
"gag","Hybrid","Many","Many"
"gum","Hybrid","Many","Many"
"hail","Hybrid","Many","Many"
"jam","Hybrid","Many","Many"
"jar","Hybrid","Many","Many"
"lap","Hybrid","Many","Many"
"lean","Hybrid","Many","Many"
"lock","Hybrid","Many","Many"
"pitch","Hybrid","Many","Many"
"scale","Hybrid","Many","Many"
"seal","Hybrid","Many","Many"
"slip","Hybrid","Many","Many"
"spell","Hybrid","Many","Many"
"stall","Hybrid","Many","Many"
"stem","Hybrid","Many","Many"
"strain","Hybrid","Many","Many"
"strand","Hybrid","Many","Many"
"stud","Hybrid","Many","Many"
"swallow","Hybrid","Many","Many"
"tap","Hybrid","Many","Many"
"ash","Homonymy","Many","Few"
"calf","Homonymy","Many","Few"
"chap","Homonymy","Many","Few"
"cricket","Homonymy","Many","Few"
"cuff","Homonymy","Many","Few"
"fleet","Homonymy","Many","Few"
"fudge","Homonymy","Many","Few"
"hide","Homonymy","Many","Few"
"lime","Homonymy","Many","Few"
"loaf","Homonymy","Many","Few"
"loom","Homonymy","Many","Few"
"mint","Homonymy","Many","Few"
"mole","Homonymy","Many","Few"
"novel","Homonymy","Many","Few"
"page","Homonymy","Many","Few"
"pen","Homonymy","Many","Few"
"pine","Homonymy","Many","Few"
"poach","Homonymy","Many","Few"
"port","Homonymy","Many","Few"
"prune","Homonymy","Many","Few"
"pupil","Homonymy","Many","Few"
"rare","Homonymy","Many","Few"
"rash","Homonymy","Many","Few"
"rifle","Homonymy","Many","Few"
"stable","Homonymy","Many","Few"
"stern","Homonymy","Many","Few"
"stunt","Homonymy","Many","Few"
"tend","Homonymy","Many","Few"
"tense","Homonymy","Many","Few"
"toast","Homonymy","Many","Few"
"utter","Homonymy","Many","Few"
"yard","Homonymy","Many","Few"
"belt","Polysemy","One","Many"
"bend","Polysemy","One","Many"
"bite","Polysemy","One","Many"
"burn","Polysemy","One","Many"
"dip","Polysemy","One","Many"
"drain","Polysemy","One","Many"
"feather","Polysemy","One","Many"
"flash","Polysemy","One","Many"
"grip","Polysemy","One","Many"
"hammer","Polysemy","One","Many"
"hang","Polysemy","One","Many"
"hook","Polysemy","One","Many"
"load","Polysemy","One","Many"
"loop","Polysemy","One","Many"
"mask","Polysemy","One","Many"
"nest","Polysemy","One","Many"
"pinch","Polysemy","One","Many"
"roll","Polysemy","One","Many"
"saddle","Polysemy","One","Many"
"scan","Polysemy","One","Many"
"shade","Polysemy","One","Many"
"slice","Polysemy","One","Many"
"slide","Polysemy","One","Many"
"smash","Polysemy","One","Many"
"sour","Polysemy","One","Many"
"spin","Polysemy","One","Many"
"steam","Polysemy","One","Many"
"sway","Polysemy","One","Many"
"thread","Polysemy","One","Many"
"tread","Polysemy","One","Many"
"whip","Polysemy","One","Many"
"wire","Polysemy","One","Many"
"ant","Unambiguous","One","Few"
"bandage","Unambiguous","One","Few"
"bet","Unambiguous","One","Few"
"bone","Unambiguous","One","Few"
"bulk","Unambiguous","One","Few"
"cage","Unambiguous","One","Few"
"cake","Unambiguous","One","Few"
"carton","Unambiguous","One","Few"
"crew","Unambiguous","One","Few"
"crude","Unambiguous","One","Few"
"deaf","Unambiguous","One","Few"
"farm","Unambiguous","One","Few"
"feast","Unambiguous","One","Few"
"foam","Unambiguous","One","Few"
"harsh","Unambiguous","One","Few"
"heap","Unambiguous","One","Few"
"hinge","Unambiguous","One","Few"
"hurdle","Unambiguous","One","Few"
"join","Unambiguous","One","Few"
"lump","Unambiguous","One","Few"
"path","Unambiguous","One","Few"
"profit","Unambiguous","One","Few"
"request","Unambiguous","One","Few"
"rust","Unambiguous","One","Few"
"silk","Unambiguous","One","Few"
"slim","Unambiguous","One","Few"
"slot","Unambiguous","One","Few"
"snake","Unambiguous","One","Few"
"soap","Unambiguous","One","Few"
"spy","Unambiguous","One","Few"
"stain","Unambiguous","One","Few"
"trot","Unambiguous","One","Few"
